Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
207,0.303272,0.304465,0.993937,0.977097,0.990142,0.995743,0.999420,0.746606,0.971866,0.987374,0.993503,95.321800,
208,0.303272,0.303272,0.994929,0.977878,0.991252,0.997414,0.999905,0.754516,0.978568,0.991446,0.995830,95.928490,
209,0.297036,0.340865,0.993652,0.976696,0.989185,0.996093,0.999009,0.746038,0.970621,0.986446,0.992951,95.161529,
210,0.297036,0.297036,0.993375,0.976293,0.988932,0.995703,0.998869,0.740291,0.967706,0.984567,0.992393,94.965729,
211,0.336141,0.336141,0.993670,0.976596,0.989773,0.995872,0.999011,0.741718,0.970446,0.986452,0.993052,95.227813,
212,0.315009,0.360509,0.994621,0.978045,0.991250,0.997150,0.999341,0.753901,0.978893,0.991669,0.995990,95.901905,
213,0.315009,0.315009,0.993846,0.977781,0.990674,0.995924,0.998642,0.748064,0.973125,0.987989,0.993910,95.381803,
214,0.337702,0.337702,0.994020,0.977376,0.990479,0.996962,0.998546,0.750482,0.973347,0.988291,0.994383,95.499931,
215,0.328074,0.382877,0.993993,0.978018,0.990670,0.996760,0.998367,0.753581,0.975196,0.989280,0.994559,95.545344,
216,0.328074,0.328074,0.995270,0.979586,0.992374,0.998133,0.999280,0.763651,0.981810,0.993009,0.996670,96.181366,
217,0.332909,0.332909,0.994714,0.979233,0.991584,0.997257,0.999003,0.758040,0.976464,0.990140,0.995507,95.825019,
218,0.344125,0.387824,0.994484,0.979378,0.991006,0.996804,0.998988,0.756494,0.976080,0.990126,0.995980,95.826671,
219,0.344125,0.344125,0.994030,0.979196,0.990887,0.996642,0.998065,0.753748,0.975861,0.989770,0.995201,95.650510,
220,0.354719,0.354719,0.995249,0.979715,0.992663,0.997999,0.999134,0.766921,0.982058,0.993027,0.996575,96.204372,
221,0.394354,0.432050,0.994336,0.978617,0.991334,0.997141,0.998424,0.754268,0.973316,0.987908,0.993886,95.583679,
222,0.394354,0.394354,0.994119,0.978139,0.991040,0.996931,0.998315,0.749130,0.971753,0.987018,0.993793,95.486594,
223,0.407841,0.407841,0.994372,0.978000,0.990424,0.996842,0.999343,0.751431,0.973074,0.987680,0.993725,95.587155,
224,0.384935,0.461332,0.995425,0.979757,0.992488,0.998444,0.999296,0.767319,0.981820,0.992871,0.996689,96.283301,
225,0.384935,0.384935,0.994044,0.979482,0.990978,0.996434,0.998111,0.756201,0.974952,0.988610,0.993994,95.553398,
226,0.389236,0.389236,0.994271,0.979062,0.990923,0.996681,0.998654,0.757246,0.974588,0.988593,0.994485,95.644821,
227,0.353917,0.418990,0.994500,0.979483,0.991466,0.996995,0.998616,0.758932,0.976030,0.989253,0.994418,95.676979,
228,0.351985,0.353917,0.995434,0.980429,0.992414,0.998109,0.999414,0.765929,0.981383,0.992442,0.996226,96.184291,
229,0.351985,0.351985,0.994247,0.979767,0.991110,0.996247,0.998616,0.760475,0.975469,0.988691,0.994073,95.563379,
230,0.345188,0.393220,0.994074,0.979489,0.990728,0.996468,0.998290,0.761009,0.974973,0.988703,0.994639,95.560152,
231,0.345188,0.345188,0.994113,0.979456,0.991102,0.996007,0.998577,0.756514,0.974721,0.988551,0.994061,95.517564,
232,0.361604,0.361604,0.995463,0.979889,0.992334,0.997727,0.999991,0.767254,0.981918,0.992923,0.996640,96.259786,
233,0.366238,0.416389,0.995007,0.980873,0.992599,0.997585,0.998528,0.769606,0.973388,0.987226,0.993356,95.610026,
234,0.336890,0.366238,0.995007,0.981778,0.992367,0.996882,0.998900,0.778338,0.972833,0.986355,0.993055,95.500694,
235,0.336890,0.336890,0.996184,0.983340,0.994286,0.997921,0.999756,0.793363,0.976753,0.988544,0.994079,95.945335,
236,0.314286,0.411244,0.997982,0.986107,0.996997,1.000145,1.000500,0.825235,0.990662,0.996980,0.998900,97.123619,
237,0.314286,0.314286,0.996894,0.985291,0.995350,0.998746,0.999831,0.812886,0.984920,0.993772,0.997295,96.590118,
238,0.327605,0.327605,0.997197,0.985499,0.995322,0.998760,1.000528,0.819357,0.985572,0.994136,0.997644,96.719128,
239,0.315326,0.365242,0.997533,0.986875,0.996353,0.999327,1.000050,0.830856,0.988545,0.995521,0.997954,96.873786,
240,0.315326,0.315326,0.998740,0.988497,0.998454,1.000734,1.000543,0.843984,0.992489,0.997803,0.999352,97.368001,
241,0.396199,0.396199,0.997587,0.984248,0.995904,1.000076,1.000617,0.801035,0.984887,0.994612,0.997919,96.942830,
242,0.721665,0.721665,0.996674,0.977671,0.996577,1.000438,0.999825,0.799301,0.989137,0.997131,0.999342,97.426056,
243,8.451428,23.489449,0.978084,0.960160,0.965016,0.979412,0.990551,0.691162,0.962281,0.979117,0.984164,100.000000,
244,8.178908,8.451428,0.963795,0.941173,0.946867,0.965605,0.979319,0.639648,0.922580,0.956126,0.970250,95.080190,
245,7.498713,8.178908,0.951469,0.927633,0.924384,0.952614,0.973040,0.574980,0.888412,0.934632,0.956928,89.623856,
246,7.056954,7.498713,0.949695,0.919638,0.925718,0.949645,0.973638,0.579022,0.882250,0.928692,0.950838,88.020986,
247,6.870992,7.056954,0.965536,0.942526,0.943218,0.965829,0.984698,0.606803,0.920435,0.955196,0.970589,93.928473,
248,6.700050,6.870992,0.947210,0.919005,0.917143,0.950384,0.971047,0.580728,0.887135,0.930083,0.950176,87.091718,
249,6.700050,6.700050,0.974881,0.946029,0.960444,0.976273,0.991088,0.657166,0.954474,0.976159,0.984460,97.881930,
