Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
49,1.939892,1.939892,0.982591,0.975351,0.961412,0.977104,0.994314,0.749934,0.959752,0.982133,0.991303,94.532216,
50,2.050050,2.050050,0.981023,0.976317,0.957837,0.973846,0.993396,0.755728,0.958697,0.981799,0.991250,94.308778,
51,2.561350,2.561350,0.978960,0.971088,0.953202,0.972373,0.992911,0.738140,0.954859,0.980175,0.990189,94.349834,
52,2.490430,2.701506,0.988220,0.981798,0.971759,0.985421,0.996828,0.804926,0.981880,0.992731,0.996466,97.444524,
53,2.163948,2.490430,0.980753,0.976846,0.957298,0.973665,0.993014,0.747811,0.956377,0.980778,0.990328,94.271600,
54,2.163948,2.163948,0.979769,0.972083,0.953001,0.972640,0.994437,0.737064,0.953900,0.979642,0.989747,93.955997,
55,2.526783,2.565179,0.980714,0.971026,0.954487,0.975366,0.994914,0.743407,0.954940,0.980116,0.990041,94.671600,
56,2.089024,2.526783,0.988608,0.981831,0.969622,0.986878,0.997684,0.807990,0.982362,0.992804,0.996512,97.015606,
57,1.760760,2.089024,0.980571,0.975010,0.955668,0.975393,0.993037,0.741630,0.954949,0.979495,0.989245,93.567527,
58,1.760760,1.760760,0.983309,0.979512,0.957874,0.979427,0.994682,0.754945,0.959477,0.981931,0.991411,94.453909,
59,2.004959,2.004959,0.984910,0.977735,0.958309,0.981207,0.997855,0.755159,0.962973,0.984562,0.993352,95.402660,
60,1.932846,2.028565,0.988712,0.982303,0.969738,0.988020,0.997330,0.796463,0.981247,0.992287,0.996224,96.782542,
61,1.677018,1.932846,0.984598,0.979322,0.959678,0.981238,0.996190,0.759151,0.963904,0.983967,0.991767,94.759665,
62,1.677018,1.677018,0.982491,0.978349,0.955971,0.977618,0.994934,0.751978,0.959581,0.982180,0.991390,94.178674,
63,1.735430,1.735430,0.980921,0.975189,0.951322,0.975252,0.995390,0.739198,0.956168,0.980923,0.990725,93.797468,
64,2.154120,2.154120,0.988454,0.980552,0.969121,0.987419,0.997832,0.804865,0.982248,0.992636,0.996332,97.044410,
65,1.961187,2.255009,0.982494,0.975112,0.956997,0.977423,0.995826,0.749672,0.957545,0.980606,0.989890,94.350204,
66,1.926306,1.961187,0.981542,0.975994,0.954297,0.975999,0.995152,0.738556,0.954309,0.979439,0.989686,94.023047,
67,1.493457,1.926306,0.983600,0.977151,0.960751,0.979090,0.995501,0.747163,0.959001,0.981862,0.990944,94.132016,
68,0.986774,1.493457,0.988395,0.981526,0.970387,0.986872,0.997367,0.799315,0.981866,0.992526,0.996241,95.484644,
69,0.986774,0.986774,0.981004,0.974524,0.956655,0.975880,0.993851,0.738456,0.958753,0.982013,0.991334,92.953467,
70,1.269003,1.387348,0.982377,0.976767,0.955538,0.977714,0.995382,0.750595,0.960621,0.983082,0.992328,93.744266,
71,0.989710,1.269003,0.983235,0.973358,0.957527,0.978958,0.997048,0.753883,0.965534,0.985751,0.993780,93.818204,
72,0.790545,0.989710,0.985513,0.970975,0.964613,0.985864,0.996960,0.784922,0.980811,0.992251,0.996232,94.586018,
73,0.790545,0.790545,0.982754,0.973889,0.956121,0.977664,0.997071,0.758459,0.966897,0.986371,0.993989,93.500412,
74,0.692500,0.806195,0.980867,0.969063,0.954252,0.976075,0.995971,0.758453,0.966333,0.986064,0.994107,92.956255,
75,0.651620,0.692500,0.980634,0.968915,0.951037,0.975918,0.996693,0.745081,0.964252,0.985111,0.993291,92.746147,
76,0.651620,0.651620,0.987126,0.975871,0.967107,0.986109,0.997879,0.789090,0.981166,0.992479,0.996413,94.777709,
77,0.573824,0.673141,0.979918,0.964445,0.956575,0.976831,0.994175,0.759811,0.966641,0.985899,0.993437,92.534406,
78,0.566879,0.573824,0.979432,0.969026,0.954982,0.973813,0.993807,0.742579,0.961465,0.983342,0.992016,92.186146,
79,0.566879,0.566879,0.979412,0.967152,0.951723,0.975881,0.994256,0.749987,0.963050,0.984012,0.992290,92.233635,
80,0.754943,0.754943,0.986076,0.978949,0.967527,0.984063,0.995524,0.783823,0.980722,0.992250,0.996264,94.664100,
81,0.979554,0.979554,0.977707,0.968887,0.948839,0.971593,0.993194,0.729816,0.957080,0.981181,0.990537,92.129784,
82,1.477042,1.477042,0.979561,0.977718,0.951321,0.973448,0.992371,0.743885,0.957968,0.980969,0.990237,93.136303,
83,1.770530,1.770530,0.981041,0.975663,0.954702,0.976340,0.993613,0.756782,0.961774,0.982868,0.991357,94.019099,
84,1.997403,1.997403,0.986850,0.976338,0.965724,0.987672,0.996395,0.802296,0.982191,0.992749,0.996562,96.512955,
85,2.397629,2.397629,0.983991,0.974585,0.956173,0.978496,0.998642,0.754732,0.959836,0.982491,0.991929,95.490690,
86,2.859174,2.859174,0.981680,0.974643,0.956190,0.976301,0.994685,0.761718,0.958403,0.981250,0.990752,95.423720,
87,3.214849,3.214849,0.979859,0.972242,0.953961,0.973018,0.993693,0.742814,0.954590,0.979284,0.989281,95.261636,
88,3.170359,3.393428,0.986980,0.976966,0.968436,0.986813,0.995689,0.813880,0.983437,0.993358,0.996920,98.128088,
89,2.940794,3.170359,0.978978,0.971320,0.952463,0.971090,0.993809,0.735933,0.947353,0.975668,0.987829,94.423312,
90,2.940794,2.940794,0.977870,0.973223,0.948850,0.970283,0.992445,0.725337,0.944489,0.974269,0.986681,94.022561,
91,3.021761,3.021761,0.978238,0.973719,0.949465,0.971933,0.991794,0.728267,0.946260,0.975583,0.987608,94.341348,
92,3.043126,3.137759,0.985371,0.976272,0.965982,0.984010,0.994721,0.795299,0.977779,0.990636,0.995281,97.327775,
93,2.970931,3.043126,0.977775,0.972965,0.950038,0.970532,0.991628,0.724527,0.943982,0.973469,0.985825,93.935430,
94,2.696128,2.970931,0.977268,0.973757,0.953932,0.970178,0.989161,0.742146,0.948922,0.975763,0.986978,93.682056,
95,2.356222,2.696128,0.985256,0.978201,0.964518,0.983636,0.994593,0.780491,0.976874,0.990164,0.994867,96.356585,
96,2.160329,2.356222,0.989459,0.982544,0.974787,0.987636,0.997327,0.806945,0.982650,0.993069,0.996789,97.329813,
97,1.842812,2.160329,0.978113,0.972539,0.955603,0.970891,0.990654,0.729215,0.949604,0.977239,0.988555,92.973130,
98,1.832594,1.842812,0.977008,0.969455,0.950242,0.970593,0.990996,0.716441,0.944827,0.974854,0.987182,92.497958,
99,1.827132,1.832594,0.978720,0.971691,0.952362,0.972213,0.992267,0.728241,0.948893,0.976603,0.987884,93.001183,
100,1.827132,1.827132,0.986458,0.980697,0.966671,0.984256,0.995310,0.785608,0.978422,0.991117,0.995452,96.027467,
101,1.936362,1.936362,0.980601,0.973375,0.950711,0.974563,0.994887,0.726405,0.948804,0.976487,0.987786,93.536744,
102,2.213610,2.213610,0.981375,0.972851,0.954155,0.973870,0.996166,0.740807,0.952801,0.978489,0.989224,94.270590,
